tag	rating
coma	3
Australia	4
weddings	3
cross dressing	5
men in drag	3
remade	2
Tom Clancy	2
John Grisham	3
interracial romance	3
shrimp	1
Vietnam	1
wedding	5
gambling	4
Holocaust	3
In Netflix queue	4
Disney	4
journalism	4
bus	5
spies	1
alcoholism	1
Edith Wharton	3
horses	3
mental illness	4
Oscar (Best Actress)	1
President	4
John Grisham	5
based on a TV show	5
hula hoop	4
assassination	1
Ireland	4
biopic	2
Dinosaur	4
Japan	2
sexuality	1
Shakespeare	3.5
cross dressing	4
divorce	3.5
men in drag	4
AIDs	0.5
radio	3
show business	3
Butler	3
Housekeeper	3.5
military	4
Australia	0.5
racism	3.5
violence	0.5
football	1
Holocaust	0.5
chess	4
In Netflix queue	3
C.S. Lewis	3.5
large cast	4.5
race	4.5
Empire State Building	4
robots	4
beat poetry	3
Christmas	3.5
Halloween	3
politics	3
adolescence	4
christmas	3
overrated	3
Disney	3
robots	3.5
American Indians	4
Native Americans	4
superhero	4
Hannibal Lector	3
Disney	4
Disney	4
Disney	4.5
prostitution	3.5
Coen Brothers	4
Disney	3.5
priest	5
babies	3.5
Gulf War	5
based on a TV show	3.5
India	3.5
India	3
spoof	5
Bugs Bunny	2.5
Veterinarian	3.5
Aardman	1
In Netflix queue	3.5
Alcatraz	2.5
Disaster	4.5
Aardman	3
aliens	3
Atomic bomb	5
drug abuse	3
aliens	4
In Netflix queue	2.5
John Grisham	3
based on a TV show	5
adultery	5
kidnapping	3
Jane Austen	4.5
golf	1.5
Mafia	3.5
Shakespeare	3.5
divorce	3
movie business	3.5
France	4.5
Capote	2.5
falling	2
voyeurism	3
Screwball	2
Brooch	2.5
divorce	3.5
Mount Rushmore	4.5
adultery	0.5
men in drag	3.5
heist	4
start of a beautiful friendship	4.5
statue	3
George Bernard Shaw	3
rich guy - poor girl	0.5
Italy	5
royalty	2.5
1900s	3.5
Dorothy	3
Toto	3.5
Civil War	3.5
television	2.5
movies	3
Rosebud	3
Hal	2
space	3
Hollywood	5
divorce	3.5
Mrs. DeWinter	2.5
Europe	5
journalism	3.5
war	3.5
assassination	2
amnesia	3.5
wedding	3
Cold War	3.5
Russia	4
prostitution	3
swashbuckler	3
swashbuckler	5
ghosts	5
Shangri-La	4.5
Astaire and Rogers	4
butler	4
homeless	3
screwball	3.5
oil	5
Nick and Nora Charles	0.5
Screwball	1
race	3
Christmas	4
Politics	4
leopard	4
screwball	2.5
adoption	3.5
fugitive	4.5
zombies	1
missionary	2
crime	0.5
Tennessee Williams	0.5
journalism	4
Hemingway	4
Animal movie	4.5
Ireland	4
food	1
death penalty	3.5
John Grisham	5
Disney	4
race	5
twins	5
Disney	3
Disney	4
King Arthur	2
Disney	3
nanny	5
Disney	5
Disney	3
Disney	3
Disney	4
Rogers and Hammerstein	3
In Netflix queue	4
Music	4
Shakespeare	5
Astaire and Rogers	5
anti-Semitism	3
governess	2
fish	3
Bible	4
parody	3
religion	5
cross dressing	3
politics	4
1920s	4
gangsters	3
dance	4
music	5
heist	4
violence	5
Vietnam	4
1960s	4
Jim Morrison	4
music	4
Holocaust	3
aliens	5
Navy	4
1950s	4
adolescence	3
Tennessee Williams	3
aging	1
Clousseau	5
military	3
England	4
King Arthur	4
boxing	3
In Netflix queue	5
Aardman	4
politics	4
Italy	4
court	4
military	3
crime	3
adultery	5
In Netflix queue	4
disability	5
Australia	5
dance	4
In Netflix queue	2
police	4
mental illness	4
I am your father	4
space	2
space opera	3
Inigo Montoya	5
six-fingered man	4
archaeology	5
ark of the covenant	5
indiana jones	5
space	4.5
spaghetti western	3
court	3.5
Middle East	3.5
brainwashing	4
Harper Lee	5
racism	4.5
Vietnam	3.5
spaghetti western	5
darth vader	3
luke skywalker	5
space opera	3.5
ferris wheel	5
Venice	3.5
zither	3
Mafia	5
aliens	5
samurai	5
Norman Bates	4
Saturday Night Live	5
Mafia	5
Vietnam	4.5
moon	4.5
Shakespeare	4
Mozart	5
Salieri	5
boxing	5
New York	5
NASA	5
space	1
submarine	3
The Entertainer	3
May-December romance	5
chess	4
death	3
robots	4
Civil War	4
Shakespeare sort of	3
black and white	3
Mafia	2
High School	5
Simon and Garfunkel	4
hit men	2
POW	3
incest	5
aliens	4
Cold	3
skiing	4
Stephen King	4
Stephen King	4
serial killer	4
POW	4
Vietnam	3
revenge	4
assassination	3
brainwashing	3
murder	5
time travel	5
World War II	4
prison	3
In Netflix queue	3
spoof	1
In Netflix queue	4
Nazis	4
Disney	3
gunfight	5
Hammett	5
high school	3
heavy metal	5
mockumentary	4
music	2
archaeology	3
Holy Grail	3
television	5
India	5
E. M. Forster	4
Cambodia	3
Vietnam	3
Shakespeare sort of	5
space	4
baseball	2
India	3
crime	4
New York	1
birds	4
remake	3
lawyer	4
high school	4
prom	3
Stephen King	3
vampires	4
demons	3
personals ads	3
religion	3
Borg	5
ex-con	3
In Netflix queue	3
religion	4
Arthur Miller	3
dogs	3
remake	4
Klingons	3
Captain Kirk	4
whales	2
superhero	4
high school	3
high school	1
Shark	2.5
shark	1
sports	3.5
Coen Brothers	1
spying	1
Hemingway	3
slasher	5
spoof	3
Hawkeye	4
James Fennimore Cooper	5
Shakespeare	1
Conan	5
Andrew Lloyd Weber	3
In Netflix queue	5
Vietnam	3
mental illness	5
In Netflix queue	2
mockumentary	3.5
Mafia	2
jungle	4
lawyer	5
Tolstoy	4
hit men	5
reunion	5
reunion	5
ballroom dance	4
In Netflix queue	3.5
dinosaurs	5
death	3
weddings	3
transplants	4.5
aliens	2.5
military	5
president	5
Tom Clancy	4
Police	3.5
twist ending	3
1970s	1.5
England	5
Queen Victoria	2.5
lawyers	4.5
Henry James	4
future	3
military	4
In Netflix queue	4.5
Amish	2.5
alternate universe	5
TV	5
Henry James	4
Savannah	5
sequel	3.5
slasher	4
spoof	5
Canada	1.5
death	3
shipwreck	4
Coen Brothers	3
Charles Dickens	4
amnesia	3.5
1980s	1.5
In Netflix queue	3
politics	4
twist ending	5
No DVD at Netflix	3.5
In Netflix queue	3.5
In Netflix queue	5
generation X	4
conspiracy	3
heist	3.5
Australia	2
space	5
mathematics	3
ships	3.5
alcoholism	3
anti-Semitism	3.5
Judaism	3
Huey Long	2.5
In Netflix queue	3.5
Robert Penn Warren	2.5
boxing	5
coulda been a contender	4.5
Gangs	3
racism	4.5
Dickens	3
prostitution	3.5
drugs	2
police	2
boxing	3.5
sports	3
divorce	4
Olympics	3
sports	3.5
adultery	4
Africa	3.5
China	4
autism	2.5
rasicm	3
Jason	3.5
Jason	5
Jason	4.5
Jason	3.5
Jason	2
halloween	3
halloween	2
ghosts	3
ghosts	3
ghosts	4
demons	1
California	4
Mexico	3.5
time travel	4.5
samurai	4
adultery	2
Bible	4
Katzanzakis	1.5
World War II	4.5
Disney	4.5
police	1.5
twins	2
General Motors	2
Michigan	2.5
In Netflix queue	2
memory	5
music	2
AIDs	2
In Netflix queue	1
sexuality	4
suburbia	4.5
Disney	3
Disney	5
Disney	3
carnival	3.5
Ray Bradbury	3.5
mermaid	5
weather forecaster	3.5
S.E. Hinton	3.5
archaeology	4
Tolkein	4.5
Stephen King	2
Stephen King	3
Stephen King	4
mice	3
1980s	4
high school	4
demons	3.5
vampires	4
aquarium	4.5
Boston	3
personals ads	4.5
murder	4
theater	4
Capone	4.5
gangsters	4
survival	2.5
small towns	3.5
paranoia	3.5
train	4
journalism	3.5
Mafia	4
In Your Eyes	4
Lloyd Dobbler	4
Mafia	4
court	3.5
military	2.5
freaks	4
Screwball	3
Broadway	4
court	3.5
adolescence	5
death penalty	3
freaks	4
Holocaust	4
racism	4
terrorism	3.5
football	4
England	3
In Netflix queue	4.5
Pixar	4
South America	4
In Netflix queue	4
In Netflix queue	4.5
heist	4
Bible	4
Moses	4
England	4
boxing	3
boxing	4
boxing	3.5
martial arts	3.5
martial arts	3.5
martial arts	4
christmas	3.5
e-mail	3.5
remake	1.5
doctors	3
In Netflix queue	3.5
kidnapping	3
religion	3.5
Australia	3.5
Australia	3.5
food	3.5
Holocaust	3.5
Hungary	4
stapler	3.5
workplace	4
disability	3.5
Stephen King	3.5
twist ending	4
ghosts	4
evil children	4
evil children	3.5
Siam	3
alternate universe	4.5
Shakespeare sort of	3.5
black and white	4
high school	3.5
southern US	4.5
golfing	4
virtual reality	3.5
motherhood	4
prequel	3.5
the Force	3.5
superhero	3.5
superhero	3.5
superhero	4
In Netflix queue	4
aliens	4
1950s	4.5
In Netflix queue	4
alternate endings	4
Star Trek	4.5
spiders	3
claims to be true	4.5
video	4.5
sexuality	3.5
ghosts	4
Ghosts	4.5
remake	4.5
superhero	4
heist	3.5
crucifixion	5
Rome	3.5
slavery	5
Missionary	5
Priest	5
nostalgia	4.5
radio	4.5
robots	3.5
ghosts	4.5
I see dead people	4.5
Stephen King	4.5
aviation	4.5
spoof	4.5
children	4
gambling	5
lawyers	3.5
Christmas	4
aliens	3.5
Beatles	4.5
river	4
England	4
King Arthur	4.5
In Netflix queue	4
prostitution	3.5
High School	4.5
Academy award (Best Supporting Actress)	5
Indonesia	3.5
journalism	4.5
adultery	5
gambling	5
screwball	3.5
In Netflix queue	5
nightclub	4.5
island	4.5
Vietnam	4.5
gambling	4.5
violence	4
brothers	5
lawn mower	4
evil children	4
time travel	4
live action/animation	4
anime	4.5
tobacco	4
true story	3
In Netflix queue	3.5
dance marathon	4
Shakespeare	3
samurai	5
class	4
camp	4
memory	3.5
music	4.5
religion	4
In Netflix queue	4.5
high school	4.5
New York	5
In Netflix queue	3.5
Up series	4
Ichabod Crane	4
christmas	4.5
new york	4.5
depression	4.5
dust bowl	4
remade	3.5
baseball	4
sports	4.5
adultery	3.5
homeless	4.5
racism	4
Pixar	4
men in drag	4.5
Graham Greene	5
fatherhood	4
Stephen King	5
black-and-white	4
L.A.	4.5
Andy Kaufman	5
spoof	3.5
Europe	5
murder	4.5
boxing	4
Shakespeare	4
In Netflix queue	4.5
high school	4
a dingo ate my baby	4.5
Australia	4
nuns	4.5
In Netflix queue	3.5
plastic surgery	3.5
Ireland	4
E.M. Forster	4.5
basketball	3.5
figure skating	4
slasher	4.5
spoof	4
sexuality	3.5
big top	4
circus	3.5
blind	3
orphans	4
writing	4.5
adolescence	4
sexuality	2.5
In Netflix queue	4
remade	4.5
basketball	5
subway	3.5
Peace Corp	2.5
politics	4.5
president	4
scandal	3.5
true story	4
lawyers	4
college	4
TOGA	3
racism	4
aardman	2.5
Insurance	4.5
Pearl S Buck	4
Hepburn and Tracy	4
interracial marriage	4.5
prejudice	4
racism	5
In Netflix queue	4
island	4
factory	2.5
pool	4.5
court	3
evolution	2.5
religion	3
class	2.5
Nick Hornby	2.5
Peter Pan	2.5
In Netflix queue	4
death	2
journalism	3
In Netflix queue	3.5
transplants	2.5
alternate endings	3.5
families	3.5
psychiatrist	2
priest	4
rabbi	4.5
show business	4
1920s	4
Gambling	3.5
golf	3.5
1970s	4.5
suicide	4
In Netflix queue	4.5
business	3
religion	4.5
Pee Wee Herman	3.5
mining	3
Christmas	3
In Netflix queue	3
Coen Brothers	4
television	4.5
Shakespeare	4
Vietnam	2
